Delfina
Deliah
Delina
Delle
Dicy
Donia
Dulcie
Earl
Edward
Edwina
Ela
Eleonora
Elta
Elvie
Elza
Elzada
Emaline
Ester
Eulah
Eulalie
Euna
Mary
Anna
Emma
Elizabeth
Margaret
Minnie
Ida
Annie
Bertha
Alice
Clara
Sarah
Ella
Nellie
Grace
Florence
Martha
Cora
Laura
Carrie
Maude
Bessie
Mabel
Gertrude
Ethel
Jennie
Edith
Hattie
Mattie
Julia
Rose
Lillian
Lillie
Eva
Jessie
Lula
Myrtle
Pearl
Edna
Catherine
Ada
Louise
Helen
Lucy
Frances
Dora
Fannie
Josephine
Daisy
Lena
Maggie
Katherine
Rosa
Marie
Nora
Effie
Blanche
May
Nancy
Della
Agnes
Nettie
Sallie
Stella
Ellen
Mamie
Lizzie
Susie
Sadie
Elsie
Maud
Flora
Caroline
Etta
Mae
Lulu
Lydia
Alma
Susan
Lottie
Addie
Mollie
Katie
Ruth
Harriet
Kate
Amanda
Nannie
Georgia
Emily
Eliza
Viola
Amelia
Willie
Charlotte
Rebecca
Belle
Kathryn
Jane
Olive
Virginia
Irene
Hannah
Ora
Esther
Matilda
Henrietta
Theresa
Ollie
Pauline
Estella
Beulah
Augusta
Rachel
Mildred
Josie
Sara
Amy
Louisa
Luella
Leona
Anne
Ann
Barbara
Lola
Estelle
Lela
Millie
Nina
Iva
Sophia
Maria
Ruby
Victoria
Evelyn
Mayme
Alta
Lou
Janie
Betty
Delia
Eleanor
Marion
Dorothy
Ina
Celia
Callie
Bettie
Allie
Inez
Dollie
Ola
Lucinda
Mable
Rena
Beatrice
Harriett
Rosie
Birdie
Eula
Rhoda
Winnie
Christina
Isabelle
Tillie
Abbie
Winifred
Essie
Lora
Sally
Sophie
Eunice
Leila
Isabel
Nell
Lelia
Myra
Nelle
Roxie
Mathilda
Bertie
Katharine
Lenora
Lettie
Christine
Sue
Sylvia
Cornelia
Linnie
Alberta
Hettie
Adelaide
Mina
Helena
Carolyn
Adeline
Genevieve
Johanna
Loretta
Lida
Fanny
Hester
Lilly
Naomi
Lois
